Prompt_ID;Metric;Method;Source_0;Source_1;Source_2;Source_3;Source_4
1;subjcount_detailed;Baseline_V2;3.4946;3.3862;3.2571;3.0545;2.9964
5;follow_detailed;Baseline_V2;3.9694;3.765;3.0455;3.1155;3.1288
5;influence_detailed;Baseline_V2;3.961;3.5898;3.0523;3.2551;3.1016
5;relevance_detailed;Baseline_V2;3.9234;3.8505;3.1079;3.2861;3.2792
5;subjcount_detailed;Baseline_V2;3.8339;3.2632;3.025;3.0926;3.1156
4;subjpos_detailed;Baseline_V2;4.0176;3.2662;3.1259;3.3728;2.2451
4;diversity_detailed;Baseline_V2;3.8496;3.2025;3.3186;3.2182;3.226
4;uniqueness_detailed;Baseline_V2;3.2206;3.0778;3.0483;3.4725;2.0636
4;follow_detailed;Baseline_V2;3.9783;3.1422;3.4692;3.15;3.0338
4;influence_detailed;Baseline_V2;3.931;3.2088;3.3256;3.2322;2.667
4;relevance_detailed;Baseline_V2;3.8395;3.3598;3.4291;3.1228;3.7708
4;subjcount_detailed;Baseline_V2;3.7776;3.0847;3.1408;3.0195;2.9839
8;subjpos_detailed;Baseline_V2;3.3879;3.44;3.5501;3.3861;3.7053
8;diversity_detailed;Baseline_V2;3.4032;3.7164;3.5513;3.4778;3.5782
8;uniqueness_detailed;Baseline_V2;3.0246;3.2017;3.047;3.4015;3.3589
8;follow_detailed;Baseline_V2;3.605;3.7432;3.7659;3.3839;3.7795
8;influence_detailed;Baseline_V2;3.6446;3.4809;3.4416;3.6088;3.3732
8;relevance_detailed;Baseline_V2;3.6569;3.8653;3.7829;3.5703;3.8411
8;subjcount_detailed;Baseline_V2;3.1432;3.2829;3.2138;3.1083;3.1938
7;subjpos_detailed;Baseline_V2;3.1991;3.2445;3.7128;3.054;3.3703
7;diversity_detailed;Baseline_V2;3.3897;3.4132;3.6036;3.1742;3.303
7;uniqueness_detailed;Baseline_V2;3.1174;3.0954;3.0849;3.1598;3.1828
7;follow_detailed;Baseline_V2;3.4359;3.4017;3.7715;3.1915;3.3797
7;influence_detailed;Baseline_V2;3.3211;3.0937;3.6331;3.147;3.3108
7;relevance_detailed;Baseline_V2;3.41;3.4351;3.5838;3.3328;3.5939
7;subjcount_detailed;Baseline_V2;3.2753;3.1545;3.4581;3.0661;3.1822
10;subjpos_detailed;Baseline_V2;3.0262;3.4591;3.316;3.4568;3.3946
10;diversity_detailed;Baseline_V2;3.0411;3.1822;3.5539;3.6874;3.4528
10;uniqueness_detailed;Baseline_V2;2.9685;3.0842;3.0411;3.5295;3.143
10;follow_detailed;Baseline_V2;3.107;3.346;3.4574;3.6492;3.5632
10;influence_detailed;Baseline_V2;3.0418;3.3538;3.4358;3.5343;3.1819
10;relevance_detailed;Baseline_V2;3.2183;3.3071;3.3031;3.5131;3.7985
10;subjcount_detailed;Baseline_V2;3.0247;3.295;3.3446;3.3971;3.4171
6;subjpos_detailed;Baseline_V2;3.322;3.1804;3.3506;2.8901;2.8233
6;diversity_detailed;Baseline_V2;3.771;3.4842;3.8871;3.1712;3.1196
6;uniqueness_detailed;Baseline_V2;3.1188;3.1935;3.5131;2.3017;2.8292
6;follow_detailed;Baseline_V2;3.7208;3.4006;3.7333;3.0;3.0
6;influence_detailed;Baseline_V2;3.5177;3.476;3.6363;2.3491;2.7472
6;relevance_detailed;Baseline_V2;3.6417;3.5021;3.7131;3.1081;3.3157
6;subjcount_detailed;Baseline_V2;3.3279;3.1422;3.4344;2.9935;2.9948
9;subjpos_detailed;Baseline_V2;4.0763;3.7958;3.0794;3.1018;3.0361
9;diversity_detailed;Baseline_V2;3.9258;3.9648;3.695;3.6368;3.2419
9;uniqueness_detailed;Baseline_V2;3.0403;3.6779;3.0801;2.9891;3.0113
9;follow_detailed;Baseline_V2;3.9322;3.8036;3.5955;3.4524;3.3133
9;influence_detailed;Baseline_V2;3.8406;3.7661;3.2632;3.1661;2.9341
9;relevance_detailed;Baseline_V2;4.1617;3.9521;3.6372;3.5676;3.5201
9;subjcount_detailed;Baseline_V2;3.8982;3.6706;3.1926;3.3697;3.1091
11;subjpos_detailed;Baseline_V2;3.5081;3.3382;3.2263;3.135;3.5548
11;diversity_detailed;Baseline_V2;3.1301;3.3816;3.2439;3.1581;3.3929
11;uniqueness_detailed;Baseline_V2;3.0314;3.1977;3.0819;3.0919;3.254
11;follow_detailed;Baseline_V2;3.4318;3.3911;3.3512;3.1896;3.6666
11;influence_detailed;Baseline_V2;3.3175;3.4753;3.3318;3.1106;3.3991
11;relevance_detailed;Baseline_V2;3.5177;3.7312;3.2146;3.505;3.3519
11;subjcount_detailed;Baseline_V2;3.1731;3.2033;3.2353;3.0447;3.2677
13;subjpos_detailed;Baseline_V2;4.1894;3.2352;3.265;3.0406;3.2159
13;diversity_detailed;Baseline_V2;3.5012;3.1117;3.1795;3.0389;3.0928
13;uniqueness_detailed;Baseline_V2;3.1375;3.1044;3.0255;3.0449;2.8504
13;follow_detailed;Baseline_V2;4.0037;3.2577;3.2199;3.1205;3.2335
13;influence_detailed;Baseline_V2;3.9133;3.1266;3.112;3.0612;3.0459
13;relevance_detailed;Baseline_V2;4.0367;3.3501;3.2492;3.1709;3.0263
13;subjcount_detailed;Baseline_V2;3.8412;3.0553;3.1212;3.0217;3.0469
12;subjpos_detailed;Baseline_V2;4.2135;3.0615;3.0412;3.048;2.8631
12;diversity_detailed;Baseline_V2;3.988;3.1287;3.0346;3.3506;3.04
12;uniqueness_detailed;Baseline_V2;3.2804;3.0011;2.9718;3.2778;2.9562
12;follow_detailed;Baseline_V2;4.0479;3.1382;3.0829;3.0488;3.0398
12;influence_detailed;Baseline_V2;4.0036;3.0539;3.0718;3.0993;2.8367
12;relevance_detailed;Baseline_V2;4.0161;3.3813;3.0649;3.3327;3.5146
12;subjcount_detailed;Baseline_V2;3.9694;3.0562;3.037;3.0258;2.9896
14;subjpos_detailed;Baseline_V2;4.0435;3.2223;3.5597;3.1103;3.709
14;diversity_detailed;Baseline_V2;3.8755;3.2823;3.2595;3.1697;3.7759
14;uniqueness_detailed;Baseline_V2;3.4788;3.0739;3.1894;3.2104;3.5164
14;follow_detailed;Baseline_V2;3.917;3.2803;3.5824;3.1825;3.4876
14;influence_detailed;Baseline_V2;3.8002;3.3058;3.6043;3.2181;3.5404
14;relevance_detailed;Baseline_V2;3.9351;3.8949;3.3653;3.216;3.8931
14;subjcount_detailed;Baseline_V2;3.9459;3.1664;3.4607;3.0817;3.6644
15;subjpos_detailed;Baseline_V2;4.2622;3.1329;3.2249;3.2009;3.4106
15;diversity_detailed;Baseline_V2;3.8999;3.7817;3.6794;3.4699;3.5327
15;uniqueness_detailed;Baseline_V2;3.8176;2.9859;3.0536;3.2798;3.3165
15;follow_detailed;Baseline_V2;3.9694;3.8409;3.7739;3.3296;3.5944
15;influence_detailed;Baseline_V2;3.9281;3.3742;3.4544;3.2953;3.3325
15;relevance_detailed;Baseline_V2;3.8888;3.7404;3.6591;3.7175;3.7725
16;subjpos_detailed;Baseline_V2;4.0685;3.6619;3.0208;3.3025;3.9639
15;subjcount_detailed;Baseline_V2;3.8798;3.4073;3.4365;3.0704;3.3258
16;diversity_detailed;Baseline_V2;3.9822;3.8494;3.5642;3.62;3.9603
16;uniqueness_detailed;Baseline_V2;3.0584;3.0519;2.9977;3.1185;3.6769
16;follow_detailed;Baseline_V2;3.9603;3.6234;3.1295;3.3697;3.9435
16;influence_detailed;Baseline_V2;3.8907;3.4262;3.0023;3.1624;3.9278
17;subjpos_detailed;Baseline_V2;3.9073;3.1902;3.1001;3.207;3.0007
16;relevance_detailed;Baseline_V2;3.959;3.9112;3.6346;3.6645;4.0454
17;diversity_detailed;Baseline_V2;3.7995;3.13;3.1123;3.6437;3.2651
16;subjcount_detailed;Baseline_V2;3.9258;3.1968;3.0418;3.0539;3.8959
17;uniqueness_detailed;Baseline_V2;3.2431;3.1935;2.973;3.3918;3.2059
17;follow_detailed;Baseline_V2;3.8598;3.2943;3.2925;3.3698;3.2004
17;influence_detailed;Baseline_V2;3.8129;3.3045;3.1973;3.4361;3.057
18;subjpos_detailed;Baseline_V2;3.0583;3.1024;3.1143;3.0642;3.0416
17;relevance_detailed;Baseline_V2;3.6448;3.6163;3.2587;3.2408;3.4344
18;diversity_detailed;Baseline_V2;3.2594;3.5557;3.4606;3.2876;3.3513
17;subjcount_detailed;Baseline_V2;3.5241;3.1705;3.0776;3.1271;3.0495
18;uniqueness_detailed;Baseline_V2;2.4511;3.1271;3.02;3.2993;3.129
18;follow_detailed;Baseline_V2;3.2355;3.5383;3.4476;3.2413;3.2372
18;influence_detailed;Baseline_V2;3.1369;3.35;3.3417;3.2534;3.2833
20;subjpos_detailed;Baseline_V2;3.7516;3.7052;3.8721;3.1692;3.4223
18;relevance_detailed;Baseline_V2;3.0796;3.1709;3.1226;3.0144;3.0269
20;diversity_detailed;Baseline_V2;3.9634;3.6713;3.9695;3.2518;3.7662
18;subjcount_detailed;Baseline_V2;3.2022;3.4608;3.373;3.2121;3.2352
20;uniqueness_detailed;Baseline_V2;3.0553;3.1164;3.3532;3.1142;3.1648
20;follow_detailed;Baseline_V2;3.8457;3.8175;3.9117;3.148;3.2506
20;influence_detailed;Baseline_V2;3.8573;3.4945;3.9214;3.1349;3.1256
20;relevance_detailed;Baseline_V2;3.9721;3.8548;3.9566;3.1374;3.5171
19;subjpos_detailed;Baseline_V2;3.5752;3.7387;3.0177;3.3913;2.9938
20;subjcount_detailed;Baseline_V2;3.906;3.5431;3.9179;3.0583;3.2242
19;diversity_detailed;Baseline_V2;3.7847;3.7247;3.5425;3.8264;3.2922
19;uniqueness_detailed;Baseline_V2;3.114;3.2566;3.0207;3.2187;3.1454
19;follow_detailed;Baseline_V2;3.6477;3.7114;3.1643;3.3444;3.0719
19;influence_detailed;Baseline_V2;3.6679;3.7027;3.1825;3.5518;3.0556
19;relevance_detailed;Baseline_V2;3.4678;3.7853;3.4051;3.7521;3.3055
19;subjcount_detailed;Baseline_V2;3.4769;3.4007;3.1945;3.3158;3.0927
21;subjpos_detailed;Baseline_V2;3.4193;3.019;3.1813;3.1732;3.1231
21;diversity_detailed;Baseline_V2;3.4113;3.2088;3.5666;3.3701;3.1657
21;uniqueness_detailed;Baseline_V2;3.0065;2.9418;3.0949;3.168;2.995
21;follow_detailed;Baseline_V2;3.6083;3.2376;3.3232;3.2376;3.1777
21;influence_detailed;Baseline_V2;3.4448;3.0246;3.2267;3.1149;3.022
21;relevance_detailed;Baseline_V2;3.2996;3.4395;3.2166;3.3372;3.3288
21;subjcount_detailed;Baseline_V2;3.4629;3.0938;3.2078;3.1746;3.0554
22;subjpos_detailed;Baseline_V2;3.9391;3.0307;3.1808;3.0475;3.1997
22;diversity_detailed;Baseline_V2;3.8416;3.3307;3.5979;3.0317;3.1744
22;uniqueness_detailed;Baseline_V2;3.1514;2.7927;3.046;3.0755;3.0585
22;follow_detailed;Baseline_V2;3.9734;3.4583;3.6146;3.0138;3.2765
22;influence_detailed;Baseline_V2;3.907;3.0718;3.3034;3.0147;3.1171
22;relevance_detailed;Baseline_V2;3.9378;3.8242;3.6152;3.1329;3.3273
22;subjcount_detailed;Baseline_V2;3.9224;3.1046;3.1609;3.0031;3.1394
23;subjpos_detailed;Baseline_V2;3.8336;3.4519;3.2562;3.4783;3.391
23;diversity_detailed;Baseline_V2;3.8385;3.1016;3.5852;3.7027;3.35
24;subjpos_detailed;Baseline_V2;4.2044;3.1962;3.1575;3.0207;3.0444
23;uniqueness_detailed;Baseline_V2;3.1918;3.0358;3.4712;3.7212;3.0534
25;subjpos_detailed;Baseline_V2;3.9731;3.8276;3.0362;3.0386;3.0579
24;diversity_detailed;Baseline_V2;3.9288;3.7812;3.8654;3.7621;3.7499
26;subjpos_detailed;Baseline_V2;3.5735;3.2645;3.2088;3.147;3.161
23;follow_detailed;Baseline_V2;3.9128;3.1678;3.4049;3.84;3.2831
25;diversity_detailed;Baseline_V2;3.893;3.6777;3.1028;3.5039;3.4462
24;uniqueness_detailed;Baseline_V2;3.8714;2.9859;3.3288;3.0326;3.0579
28;subjpos_detailed;Baseline_V2;3.8325;3.0422;3.014;3.7359;3.4138
26;diversity_detailed;Baseline_V2;3.3026;3.4468;3.3165;3.2538;3.0418
23;influence_detailed;Baseline_V2;3.7947;3.2875;3.2009;3.4304;3.2369
25;uniqueness_detailed;Baseline_V2;3.5954;3.5917;2.904;2.9131;2.9478
24;follow_detailed;Baseline_V2;4.0736;3.588;3.1264;3.2997;3.4601
27;subjpos_detailed;Baseline_V2;3.9664;3.0133;3.129;3.1066;2.9696
28;diversity_detailed;Baseline_V2;3.9189;3.3819;2.9727;3.8421;3.7031
29;subjpos_detailed;Baseline_V2;3.7794;3.0958;3.0144;3.4395;2.5654
26;uniqueness_detailed;Baseline_V2;3.0743;3.1408;3.0237;3.2796;3.0054
23;relevance_detailed;Baseline_V2;3.6475;3.312;3.6276;3.4114;3.4148
25;follow_detailed;Baseline_V2;3.8583;3.8259;3.1371;3.1478;3.3328
24;influence_detailed;Baseline_V2;3.9955;3.5541;3.0778;3.0959;3.3462
27;diversity_detailed;Baseline_V2;3.9681;3.3022;3.5296;3.0933;3.3526
28;uniqueness_detailed;Baseline_V2;2.9832;2.8145;2.9681;3.2353;3.3574
29;diversity_detailed;Baseline_V2;3.6213;3.1111;3.0203;3.1756;3.0448
26;follow_detailed;Baseline_V2;3.7724;3.5998;3.4681;3.3536;3.1327
23;subjcount_detailed;Baseline_V2;3.6152;3.1161;3.2358;3.4091;3.1607
25;influence_detailed;Baseline_V2;3.9694;3.7864;3.0652;3.0879;3.223
24;relevance_detailed;Baseline_V2;3.9951;3.839;3.4842;3.7772;3.885
27;uniqueness_detailed;Baseline_V2;3.3116;2.8039;2.91;2.9995;2.8817
30;subjpos_detailed;Baseline_V2;3.9388;3.2946;3.0624;3.1467;3.3857
28;follow_detailed;Baseline_V2;3.9625;3.3474;3.0665;3.9147;3.8829
29;uniqueness_detailed;Baseline_V2;3.0227;2.0992;2.0317;3.0918;1.7031
26;influence_detailed;Baseline_V2;3.5708;3.2035;3.4352;3.0561;3.0606
25;relevance_detailed;Baseline_V2;3.9127;3.8602;3.3053;3.5617;3.8431
24;subjcount_detailed;Baseline_V2;3.9487;3.4723;3.2235;3.1692;3.4174
27;follow_detailed;Baseline_V2;4.0103;3.6432;3.76;3.504;3.4185
30;diversity_detailed;Baseline_V2;3.9604;3.4868;3.0636;3.1903;3.209
28;influence_detailed;Baseline_V2;3.8611;2.7486;3.0617;3.6942;3.3387
29;follow_detailed;Baseline_V2;3.7691;3.2425;3.0734;3.376;3.1261
26;relevance_detailed;Baseline_V2;3.2207;3.3661;3.1934;3.1668;3.2266
25;subjcount_detailed;Baseline_V2;3.8304;3.6865;3.0509;3.0152;3.0921
27;influence_detailed;Baseline_V2;3.9885;3.0127;3.1433;3.0349;2.9146
30;uniqueness_detailed;Baseline_V2;3.4294;3.2846;2.9277;3.4272;3.0829
28;relevance_detailed;Baseline_V2;3.9356;3.683;3.0627;3.7562;3.5639
29;influence_detailed;Baseline_V2;3.6761;3.004;2.8693;3.2139;2.9185
26;subjcount_detailed;Baseline_V2;3.2258;3.1535;3.1395;3.0916;3.047
27;relevance_detailed;Baseline_V2;3.8948;3.7756;3.8223;3.2185;3.782
30;follow_detailed;Baseline_V2;3.9315;3.5609;3.1656;3.3363;3.4295
28;subjcount_detailed;Baseline_V2;3.7866;3.0215;2.9982;3.4406;3.3133
29;relevance_detailed;Baseline_V2;3.365;3.3117;3.2023;3.1512;3.1238
27;subjcount_detailed;Baseline_V2;3.9192;3.0898;3.599;3.031;3.103
30;influence_detailed;Baseline_V2;3.8411;3.3909;3.0605;3.1727;3.2466
29;subjcount_detailed;Baseline_V2;3.7186;3.0668;3.0195;3.0975;2.9515
30;relevance_detailed;Baseline_V2;3.9202;3.7735;3.1423;3.3634;3.5018
30;subjcount_detailed;Baseline_V2;3.7371;3.1878;3.0315;3.0728;3.2548
31;subjpos_detailed;Baseline_V2;3.4193;3.6746;3.2071;3.3402;3.2253
31;diversity_detailed;Baseline_V2;3.3483;3.6671;3.5354;3.2226;3.0598
31;uniqueness_detailed;Baseline_V2;3.105;3.4854;3.0964;3.4832;3.059
31;follow_detailed;Baseline_V2;3.7266;3.8703;3.5207;3.45;3.1015
31;influence_detailed;Baseline_V2;3.5808;3.6051;3.5553;3.3038;2.973
31;relevance_detailed;Baseline_V2;3.7393;3.95;3.7177;3.641;3.5948
31;subjcount_detailed;Baseline_V2;3.4696;3.5657;3.3637;3.0892;3.0558
32;subjpos_detailed;Baseline_V2;3.904;3.2268;3.0311;3.1019;3.435
32;diversity_detailed;Baseline_V2;3.7013;3.4671;3.3251;3.2476;3.6255
32;uniqueness_detailed;Baseline_V2;3.5248;3.2792;2.9923;3.2262;3.2461
32;follow_detailed;Baseline_V2;3.901;3.5041;3.1579;3.1866;3.543
32;influence_detailed;Baseline_V2;3.8741;3.1664;3.0061;3.0637;3.1758
32;relevance_detailed;Baseline_V2;3.7315;3.8387;3.5618;3.2118;3.4846
32;subjcount_detailed;Baseline_V2;3.8214;3.3116;3.0421;3.0423;3.2569
33;subjpos_detailed;Baseline_V2;4.4443;3.2853;3.0413;3.2181;3.1075
33;diversity_detailed;Baseline_V2;3.9189;3.5916;3.0737;3.5391;3.6715
33;uniqueness_detailed;Baseline_V2;3.5688;2.5935;3.0037;2.9579;2.9209
33;follow_detailed;Baseline_V2;4.0632;3.9714;3.2455;3.884;3.9149
33;influence_detailed;Baseline_V2;3.9938;3.625;2.9867;3.3868;3.4744
33;relevance_detailed;Baseline_V2;3.9076;3.7061;3.0557;3.7178;3.8132
33;subjcount_detailed;Baseline_V2;3.9703;3.5503;2.9898;3.2894;3.419
34;subjpos_detailed;Baseline_V2;3.9799;3.1171;3.1836;2.9726;2.9529
34;diversity_detailed;Baseline_V2;3.9711;3.5506;3.4634;3.3341;3.2945
34;uniqueness_detailed;Baseline_V2;3.5048;2.9943;3.0658;2.9352;2.6894
34;follow_detailed;Baseline_V2;4.007;3.884;3.3382;3.5462;3.7336
34;influence_detailed;Baseline_V2;3.9702;3.2395;3.2212;3.0076;3.0799
34;relevance_detailed;Baseline_V2;3.9769;3.9359;3.7608;3.8139;3.8793
34;subjcount_detailed;Baseline_V2;3.8704;3.239;3.1334;3.0465;3.1489
35;subjpos_detailed;Baseline_V2;3.7755;3.9063;3.4797;3.4414;2.8921
35;diversity_detailed;Baseline_V2;3.9426;3.9605;3.5444;3.3459;3.2412
35;uniqueness_detailed;Baseline_V2;3.0919;3.6565;2.9771;3.0888;2.9376
35;follow_detailed;Baseline_V2;3.9527;3.9527;3.3945;3.4944;3.0876
35;influence_detailed;Baseline_V2;3.7356;3.9017;3.4331;3.2758;2.8562
35;relevance_detailed;Baseline_V2;3.8859;3.9584;3.3602;3.2116;3.7817
35;subjcount_detailed;Baseline_V2;3.7937;3.8382;3.3305;3.166;2.9975
36;subjpos_detailed;Baseline_V2;3.9345;3.527;3.3145;3.2427;3.0
36;diversity_detailed;Baseline_V2;3.9013;3.6319;3.2128;3.1755;3.177
36;uniqueness_detailed;Baseline_V2;3.1192;3.1517;2.8555;3.3709;2.7239
36;follow_detailed;Baseline_V2;3.9588;3.7446;3.4731;3.225;3.3993
37;subjpos_detailed;Baseline_V2;3.969;3.909;3.7375;3.035;3.5702
36;influence_detailed;Baseline_V2;3.9786;3.5575;3.3959;3.3709;3.0
37;diversity_detailed;Baseline_V2;3.8768;3.764;3.8607;3.0199;3.4993
36;relevance_detailed;Baseline_V2;3.6148;3.7539;3.0;3.0;1.0
37;uniqueness_detailed;Baseline_V2;3.2852;3.6242;3.0994;3.0595;3.2005
36;subjcount_detailed;Baseline_V2;3.7244;3.2395;3.1045;3.079;3.0
37;follow_detailed;Baseline_V2;3.8813;3.972;3.9128;3.0882;3.9076
37;influence_detailed;Baseline_V2;3.9291;3.8478;3.4467;2.9849;3.256
37;relevance_detailed;Baseline_V2;3.9572;3.96;3.792;3.0302;3.821
37;subjcount_detailed;Baseline_V2;3.7468;3.7603;3.4937;3.0211;3.3978
38;subjpos_detailed;Baseline_V2;4.1383;3.7257;3.3104;3.0783;3.7394
38;diversity_detailed;Baseline_V2;3.9943;3.5226;3.5119;3.2699;3.8509
38;uniqueness_detailed;Baseline_V2;3.7899;3.1784;3.1823;3.1971;3.4694
38;follow_detailed;Baseline_V2;3.9881;3.4264;3.316;3.1313;3.8145
38;influence_detailed;Baseline_V2;4.0145;3.6543;3.2405;3.2917;3.4499
39;subjpos_detailed;Baseline_V2;3.9786;3.3582;3.3964;3.5422;3.0896
38;relevance_detailed;Baseline_V2;4.0003;3.3231;3.191;3.7259;3.8387
39;diversity_detailed;Baseline_V2;3.9698;3.788;3.5545;3.7591;3.5926
38;subjcount_detailed;Baseline_V2;3.955;3.4304;3.2143;3.0348;3.3512
39;uniqueness_detailed;Baseline_V2;3.4251;3.2429;3.0389;3.6738;3.3271
40;subjpos_detailed;Baseline_V2;3.9448;3.0462;3.1367;3.1384;3.036
39;follow_detailed;Baseline_V2;3.9078;3.7934;3.7103;3.8077;3.5206
40;diversity_detailed;Baseline_V2;4.0114;3.9438;4.0204;4.0136;3.9764
39;influence_detailed;Baseline_V2;3.8978;3.5276;3.3684;3.4841;3.1761
40;uniqueness_detailed;Baseline_V2;3.76;2.3421;2.4598;2.3401;2.8452
39;relevance_detailed;Baseline_V2;3.918;3.7884;3.6803;3.8164;3.8432
40;follow_detailed;Baseline_V2;3.8522;3.4686;3.7049;3.7066;3.6081
39;subjcount_detailed;Baseline_V2;3.8289;3.2929;3.2284;3.3477;3.1949
40;influence_detailed;Baseline_V2;4.0042;3.2625;3.6169;3.7543;3.4827
40;relevance_detailed;Baseline_V2;3.7894;3.8024;3.6782;4.1442;4.1356
40;subjcount_detailed;Baseline_V2;3.7658;3.2586;3.5645;3.6565;3.5996
41;subjpos_detailed;Baseline_V2;3.894;3.8518;3.2487;3.0302;3.0654
41;diversity_detailed;Baseline_V2;3.8332;3.9147;3.7681;3.7201;3.5188
41;uniqueness_detailed;Baseline_V2;3.3597;3.715;3.1121;3.3046;3.3459
41;follow_detailed;Baseline_V2;3.9695;3.7887;3.468;3.3749;3.3223
41;influence_detailed;Baseline_V2;3.9654;3.8721;3.3925;3.022;3.0611
41;relevance_detailed;Baseline_V2;3.8906;4.0087;3.6631;3.765;3.7581
41;subjcount_detailed;Baseline_V2;3.8437;3.5773;3.3048;3.1471;3.1251
42;subjpos_detailed;Baseline_V2;3.8501;3.1782;3.5097;3.1069;3.5697
42;diversity_detailed;Baseline_V2;3.6174;3.1655;3.6957;3.1392;3.3364
42;uniqueness_detailed;Baseline_V2;3.1271;3.0975;3.0301;2.9669;3.0935
42;follow_detailed;Baseline_V2;3.9222;3.3232;3.549;3.1861;3.5724
42;influence_detailed;Baseline_V2;3.8041;3.5239;3.6206;3.3502;3.3277
42;relevance_detailed;Baseline_V2;3.5757;3.625;3.698;3.3477;3.7998
42;subjcount_detailed;Baseline_V2;3.7653;3.2658;3.4012;3.0741;3.2373
43;subjpos_detailed;Baseline_V2;3.8046;3.2273;3.3161;3.0103;3.2624
43;diversity_detailed;Baseline_V2;3.8093;3.6253;3.551;3.4436;3.1496
43;uniqueness_detailed;Baseline_V2;3.6877;3.4547;3.3165;3.4459;3.3503
43;follow_detailed;Baseline_V2;3.6736;3.6293;3.4789;3.2712;3.2928
43;influence_detailed;Baseline_V2;3.75;3.1935;3.1688;3.0113;3.1834
43;relevance_detailed;Baseline_V2;3.5155;3.6894;3.4562;3.3478;3.5956
43;subjcount_detailed;Baseline_V2;3.7545;3.3461;3.2532;3.0086;3.1053
44;subjpos_detailed;Baseline_V2;3.7998;3.5722;3.0932;3.0234;2.9687
44;diversity_detailed;Baseline_V2;3.6638;3.6273;3.4102;3.3181;3.1937
44;uniqueness_detailed;Baseline_V2;3.1197;3.0743;1.7397;1.9063;1.3448
44;follow_detailed;Baseline_V2;3.831;3.7132;3.1727;3.0881;3.0807
44;influence_detailed;Baseline_V2;3.7279;3.4894;3.1468;3.0471;2.9808
44;relevance_detailed;Baseline_V2;3.6434;3.6917;3.4668;3.4007;3.411
44;subjcount_detailed;Baseline_V2;3.5637;3.3784;3.0513;3.0252;3.0249
45;subjpos_detailed;Baseline_V2;4.091;3.1642;3.4054;3.1972;3.6116
45;diversity_detailed;Baseline_V2;3.9824;3.4947;3.6698;3.849;3.6696
45;uniqueness_detailed;Baseline_V2;3.7107;3.0477;3.1556;3.3029;3.2083
45;follow_detailed;Baseline_V2;4.0051;3.2569;3.4146;3.2707;3.5763
45;influence_detailed;Baseline_V2;3.9963;3.2844;3.2952;3.2923;3.4596
45;relevance_detailed;Baseline_V2;4.014;3.553;3.2122;3.2308;3.4105
45;subjcount_detailed;Baseline_V2;3.8182;3.0796;3.2266;3.087;3.1434
46;subjpos_detailed;Baseline_V2;3.862;3.9719;3.1209;3.474;2.792
46;diversity_detailed;Baseline_V2;3.9575;3.9392;3.1833;3.7661;3.0445
47;subjpos_detailed;Baseline_V2;3.3664;3.3267;3.5828;2.5692;2.5945
46;uniqueness_detailed;Baseline_V2;3.1738;3.653;3.056;3.6229;2.2226
47;diversity_detailed;Baseline_V2;3.614;3.3156;3.8025;3.0633;3.0456
46;follow_detailed;Baseline_V2;3.5991;3.8777;3.0149;3.1078;3.007
48;subjpos_detailed;Baseline_V2;3.1051;3.1195;3.1042;3.0711;3.0692
47;uniqueness_detailed;Baseline_V2;2.9957;3.0645;3.1534;2.9671;2.8133
46;influence_detailed;Baseline_V2;3.952;3.9461;3.3134;3.5949;2.7987
48;diversity_detailed;Baseline_V2;3.8826;3.9397;3.9397;3.8638;3.8812
