Visibility Metric;Optimization Method;Avg Delta;WCP;DR;WTR
position_adjusted_wordcount;inverted_pyramid_mine;-0.0118;-0.7376;0.0167;0.5517
position_adjusted_wordcount;autogeo_api_mine;0.0628;-0.8144;0.0119;0.71
absolute_wordcount;identity;-0.0062;-0.8203;0.0112;0.6017
absolute_wordcount;fluent_gpt;-0.0049;-0.8;0.0163;0.5883
absolute_wordcount;authoritative;-0.0052;-0.7935;0.0146;0.5567
absolute_wordcount;more_quotes;-0.0199;-0.6574;0.0163;0.5383
absolute_wordcount;citing_credible;0.0223;-0.8478;0.0117;0.62
absolute_wordcount;simple_language;-0.0191;-0.8799;0.0161;0.5333
absolute_wordcount;technical_terms;0.0891;-0.536;0.0085;0.72
absolute_wordcount;stats_optimization;0.0907;-0.6278;0.008;0.7367
absolute_wordcount;llms_txt;-0.0009;-0.8;0.015;0.5817
absolute_wordcount;inverted_pyramid_mine;-0.0142;-0.7732;0.0173;0.54
absolute_wordcount;autogeo_api_mine;0.063;-0.8;0.0117;0.7117
rouge_l_recall;identity;0.0001;-0.1379;0.0002;0.54
rouge_l_recall;fluent_gpt;0.0717;-0.1145;0.0001;0.955
rouge_l_recall;authoritative;0.065;-0.156;0.0002;0.94
rouge_l_recall;more_quotes;0.0645;-0.1308;0.0001;0.8917
rouge_l_recall;citing_credible;0.08;-0.108;0.0001;0.9333
rouge_l_recall;simple_language;0.0977;-0.069;0.0;0.9783
rouge_l_recall;technical_terms;0.0729;-0.3231;0.0005;0.9167
rouge_l_recall;stats_optimization;0.06;-0.1109;0.0002;0.8617
rouge_l_recall;llms_txt;0.0941;-0.1306;0.0001;0.9667
rouge_l_recall;inverted_pyramid_mine;0.0916;-0.1525;0.0002;0.955
rouge_l_recall;autogeo_api_mine;0.072;-0.2079;0.0004;0.9233
bleu;identity;0.0003;-0.0584;0.0;0.5383
bleu;fluent_gpt;0.0226;-0.026;0.0;0.835
bleu;authoritative;0.0237;-0.026;0.0;0.8133
bleu;more_quotes;0.0214;-0.0735;0.0;0.7567
bleu;citing_credible;0.0329;-0.0298;0.0;0.8433
bleu;simple_language;0.0245;-0.0298;0.0;0.79
bleu;technical_terms;0.0327;-0.0323;0.0;0.84
bleu;stats_optimization;0.0276;-0.026;0.0;0.7983
bleu;llms_txt;0.0257;-0.0584;0.0;0.7817
bleu;inverted_pyramid_mine;0.0241;-0.0584;0.0;0.7767
bleu;autogeo_api_mine;0.0318;-0.0707;0.0;0.875
length_ratio;identity;0.0142;-1.5714;0.0113;0.53
length_ratio;fluent_gpt;1.2972;-5.4615;0.0992;0.94
length_ratio;authoritative;1.0004;-14.75;0.5209;0.9133
length_ratio;more_quotes;2.9013;-9.9088;0.2646;0.91
length_ratio;citing_credible;1.8243;-8.7956;0.234;0.9283
length_ratio;simple_language;1.3352;-3.5714;0.0592;0.9833
length_ratio;technical_terms;2.0688;-13.7347;0.5598;0.9017
length_ratio;stats_optimization;3.5656;-13.1281;0.4485;0.825
length_ratio;llms_txt;0.4432;-15.2091;0.6592;0.945
length_ratio;inverted_pyramid_mine;4.0655;-16.3431;0.6774;0.955
length_ratio;autogeo_api_mine;3.9791;-16.303;0.776;0.9117
rvs_sentiment;identity;-0.1442;-69.8244;65.768;0.615
rvs_sentiment;fluent_gpt;0.3448;-67.8441;54.1;0.6283
rvs_sentiment;authoritative;-0.0815;-44.752;53.3598;0.58
rvs_sentiment;more_quotes;-0.6235;-43.0096;65.9326;0.5833
rvs_sentiment;citing_credible;1.1959;-35.4523;51.7895;0.6217
rvs_sentiment;simple_language;0.4619;-35.5538;54.0029;0.645
rvs_sentiment;technical_terms;2.7482;-53.1916;59.134;0.6583
rvs_sentiment;stats_optimization;1.1418;-59.0437;66.4904;0.6367
rvs_sentiment;llms_txt;0.9034;-48.4116;51.4125;0.63
rvs_sentiment;inverted_pyramid_mine;0.5606;-46.0812;62.2288;0.6083
rvs_sentiment;autogeo_api_mine;0.6873;-58.3392;71.5138;0.6233
